Id,Label,timeset,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Cuidador 1,Cuidador 1,,11,22,3,0.555556,0.655556,0.56978,0.212324,0.212325,0,0.03097,0,0.909091,50,0.622921
Cuidador 2,Cuidador 2,,11,22,3,0.555556,0.655556,0.56978,0.212324,0.212325,0,0.03097,0,0.909091,50,0.622921
Cuidador 3,Cuidador 3,,11,22,3,0.555556,0.655556,0.56978,0.212324,0.212325,0,0.03097,0,0.909091,50,0.622921
Estafeta1,Estafeta1,,16,32,3,0.652174,0.755556,14.377231,0.266003,0.266004,0,0.044166,0,0.566667,68,0.793029
Estafeta 2,Estafeta 2,,16,32,3,0.652174,0.755556,13.976059,0.267762,0.267762,0,0.044154,0,0.558333,67,0.800267
Explotador 2,Explotador 2,,15,30,3,0.638298,0.738889,6.438384,0.268676,0.268676,0,0.041189,0,0.695238,73,0.796498
Partícipe 1,Partícipe 1,,24,48,2,0.833333,0.9,113.231873,0.331442,0.331442,1,0.067586,0,0.380435,105,1
Partícipe 3,Partícipe 3,,13,26,3,0.612245,0.705556,7.255056,0.21799,0.21799,1,0.036961,0,0.602564,47,0.650938
Raitero 1,Raitero 1,,11,22,3,0.588235,0.672222,1.260251,0.210678,0.210678,0,0.03102,0,0.890909,49,0.619755
Raitero 2,Raitero 2,,12,24,3,0.6,0.688889,3.186441,0.219637,0.219637,0,0.033694,0,0.787879,52,0.6466
Raitero 3,Raitero 3,,12,24,3,0.6,0.688889,3.186441,0.219637,0.219637,0,0.033694,0,0.787879,52,0.6466
Victima reclutador 2,Victima reclutador 2,,15,30,3,0.638298,0.738889,8.74599,0.255662,0.255663,0,0.041565,0,0.619048,65,0.757736
Cuidador 4,Cuidador 4,,7,14,3,0.508475,0.583333,1.366667,0.070114,0.070114,2,0.023766,0,0.714286,15,0.227763
Cuidador 5,Cuidador 5,,8,16,3,0.526316,0.605556,3.319048,0.0861,0.0861,2,0.026174,0,0.571429,16,0.276171
Cuidador 6,Cuidador 6,,8,16,3,0.526316,0.605556,7.25,0.074916,0.074916,2,0.027193,0,0.571429,16,0.244083
Empresa 2,Empresa 2,,7,14,3,0.545455,0.605556,2.714286,0.080474,0.080473,2,0.02361,0,0.571429,12,0.255411
Estafeta 3,Estafeta 3,,14,28,3,0.625,0.722222,23.05213,0.195549,0.195549,2,0.040681,0,0.43956,40,0.59691
Raitero 4,Raitero 4,,10,20,3,0.576923,0.655556,6.38245,0.123895,0.123895,2,0.031464,0,0.555556,25,0.38854
Raitero 5,Raitero 5,,10,20,3,0.576923,0.655556,6.38245,0.123895,0.123895,2,0.031464,0,0.555556,25,0.38854
Reclutador 3,Reclutador 3,,15,30,2,0.666667,0.75,36.108496,0.200864,0.200863,3,0.045285,0,0.438095,46,0.617971
Funcionario 1,Funcionario 1,,11,22,3,0.588235,0.672222,7.860256,0.163775,0.163774,1,0.032973,0,0.545455,30,0.499587
Funcionario 2,Funcionario 2,,10,20,3,0.576923,0.655556,8.394481,0.134627,0.134627,1,0.03086,0,0.4,18,0.413789
Empresa 1,Empresa 1,,6,12,3,0.535714,0.588889,1.417419,0.068812,0.068812,2,0.020963,0,0.666667,10,0.219631
Guia 3,Guia 3,,7,14,2,0.566038,0.616667,29.162657,0.077123,0.077123,3,0.02735,0,0.52381,11,0.243631
Escolta 1,Escolta 1,,3,6,3,0.379747,0.427778,1.2,0.01295,0.01295,3,0.016941,0,0.333333,1,0.044253
Escolta 2,Escolta 2,,2,4,3,0.375,0.411111,0.533333,0.00713,0.00713,3,0.012982,0,0,0,0.025481
Guia 1,Guia 1,,7,14,2,0.566038,0.616667,15.185714,0.084405,0.084405,3,0.026431,0,0.666667,14,0.263286
Guia 2,Guia 2,,6,12,2,0.555556,0.6,12.180952,0.072054,0.072054,3,0.023714,0,0.733333,11,0.225799
Reclutador 1,Reclutador 1,,13,26,2,0.638298,0.716667,14.515451,0.203422,0.203422,3,0.039082,0,0.564103,44,0.616962
Reclutador 2,Reclutador 2,,10,20,3,0.588235,0.661111,4.190476,0.168368,0.168368,1,0.030188,0,0.688889,31,0.508855
Partícipe 2,Partícipe 2,,7,14,3,0.526316,0.594444,1.416667,0.122129,0.122129,1,0.021942,0,0.666667,14,0.364368
