Id,Label,timeset,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Cuidador 1,Cuidador 1,,11,22,2,0.923077,0.958333,0.635714,0.298739,0.298739,0,0.082095,0,0.909091,50,0.962082
Cuidador 2,Cuidador 2,,11,22,2,0.923077,0.958333,0.635714,0.298739,0.298739,0,0.082095,0,0.909091,50,0.962082
Cuidador 3,Cuidador 3,,11,22,2,0.923077,0.958333,0.635714,0.298739,0.298739,0,0.082095,0,0.909091,50,0.962082
Estafeta1,Estafeta1,,10,20,2,0.857143,0.916667,0.1,0.280364,0.280364,0,0.075285,0,0.977778,44,0.902603
Estafeta 2,Estafeta 2,,10,20,2,0.857143,0.916667,0.535714,0.273721,0.273721,0,0.075595,0,0.911111,41,0.881329
Explotador 2,Explotador 2,,11,22,2,0.923077,0.958333,0.635714,0.298739,0.298739,0,0.082095,0,0.909091,50,0.962082
Partícipe 3,Partícipe 3,,8,16,2,0.75,0.833333,1.15,0.210392,0.210392,0,0.063546,0,0.785714,22,0.678052
Raitero 1,Raitero 1,,10,20,2,0.857143,0.916667,0.1,0.280364,0.280364,0,0.075285,0,0.977778,44,0.902603
Raitero 2,Raitero 2,,11,22,2,0.923077,0.958333,1.65,0.291991,0.291991,0,0.082739,0,0.854545,47,0.940521
Raitero 3,Raitero 3,,11,22,2,0.923077,0.958333,1.65,0.291991,0.291991,0,0.082739,0,0.854545,47,0.940521
Victima reclutador 1,Victima reclutador 1,,12,24,1,1,1,2.185714,0.310365,0.310365,0,0.089544,0,0.818182,54,1
Victima reclutador 2,Victima reclutador 2,,11,22,2,0.923077,0.958333,1.835714,0.28646,0.28646,0,0.083045,0,0.818182,45,0.923022
Partícipe 2,Partícipe 2,,5,10,2,0.631579,0.708333,0.25,0.133127,0.133127,0,0.043843,0,0.8,8,0.429417
