Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
Cuidador 4,Cuidador 4,,7,7,14,7,7,14,2,0.818182,0.888889,1.633333,0.331582,0.331581,0,0.102025,0,0,0.809524,0.904837
Cuidador 5,Cuidador 5,,6,6,12,6,6,12,2,0.75,0.833333,1.8,0.279128,0.279129,0,0.089903,0,0,0.733333,0.761735
Cuidador 6,Cuidador 6,,7,7,14,7,7,14,2,0.818182,0.888889,1.633333,0.331582,0.331581,0,0.102025,0,0,0.809524,0.904837
Empresa 2,Empresa 2,,6,6,12,6,6,12,2,0.75,0.833333,1.7,0.276086,0.276087,1,0.090129,0,0,0.733333,0.754153
Estafeta 3,Estafeta 3,,7,7,14,7,7,14,2,0.818182,0.888889,2.133333,0.324277,0.324278,0,0.102478,0,0,0.761905,0.885164
Explotador 3,Explotador 3,,8,8,16,8,8,16,2,0.9,0.944444,3.4,0.35865,0.358651,1,0.115435,0,0,0.714286,0.97949
Raitero 4,Raitero 4,,8,8,16,8,8,16,2,0.9,0.944444,2.933333,0.366338,0.366336,0,0.114954,0,0,0.75,1
Raitero 5,Raitero 5,,8,8,16,8,8,16,2,0.9,0.944444,2.933333,0.366338,0.366336,0,0.114954,0,0,0.75,1
Funcionario 2,Funcionario 2,,5,5,10,5,5,10,2,0.692308,0.777778,2.133333,0.218075,0.218072,1,0.07797,0,0,0.5,0.596036
Empresa 1,Empresa 1,,6,6,12,6,6,12,2,0.75,0.833333,1.7,0.276086,0.276087,1,0.090129,0,0,0.733333,0.754153
