Id,Label,timeset,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Cuidador 1,Cuidador 1,,11,22,3,0.571429,0.672619,0.083333,0.211768,0.211768,0,0.032463,0,0.981818,54,0.665857
Cuidador 2,Cuidador 2,,11,22,3,0.571429,0.672619,0.083333,0.211768,0.211768,0,0.032463,0,0.981818,54,0.665857
Cuidador 3,Cuidador 3,,11,22,3,0.571429,0.672619,0.083333,0.211768,0.211768,0,0.032463,0,0.981818,54,0.665857
Estafeta1,Estafeta1,,17,34,3,0.7,0.797619,17.822818,0.282892,0.282892,0,0.048851,0,0.617647,84,0.906428
Estafeta 2,Estafeta 2,,16,32,3,0.682927,0.779762,14.865014,0.269492,0.269492,0,0.046286,0,0.616667,74,0.866451
Explotador 1,Explotador 1,,22,44,2,0.823529,0.892857,95.59199,0.30907,0.30907,2,0.066248,0,0.415584,96,1
Explotador 2,Explotador 2,,15,30,3,0.666667,0.761905,5.630694,0.268711,0.268712,0,0.043183,0,0.752381,79,0.85454
Raitero 1,Raitero 1,,12,24,3,0.608696,0.702381,0.836243,0.229165,0.229165,0,0.035019,0,0.924242,61,0.723254
Raitero 2,Raitero 2,,12,24,3,0.608696,0.702381,0.836243,0.229165,0.229165,0,0.035019,0,0.924242,61,0.723254
Raitero 3,Raitero 3,,12,24,3,0.608696,0.702381,0.836243,0.229165,0.229165,0,0.035019,0,0.924242,61,0.723254
Victima reclutador 1,Victima reclutador 1,,15,30,3,0.666667,0.761905,5.630694,0.268711,0.268712,0,0.043183,0,0.752381,79,0.85454
Victima reclutador 2,Victima reclutador 2,,13,26,3,0.636364,0.72619,4.508737,0.231993,0.231993,0,0.03815,0,0.75641,59,0.735269
Cuidador 4,Cuidador 4,,8,16,3,0.528302,0.613095,1.824481,0.08346,0.083459,1,0.027839,0,0.75,21,0.291468
Cuidador 5,Cuidador 5,,7,14,3,0.56,0.619048,2.148062,0.088771,0.08877,1,0.024538,0,0.714286,15,0.304053
Cuidador 6,Cuidador 6,,9,18,3,0.54902,0.636905,9.487923,0.08862,0.08862,1,0.031307,0,0.611111,22,0.310359
Empresa 2,Empresa 2,,6,12,3,0.538462,0.595238,1.36176,0.066043,0.066042,1,0.022195,0,0.733333,11,0.229009
Estafeta 3,Estafeta 3,,16,32,3,0.682927,0.779762,23.051243,0.242645,0.242645,1,0.047596,0,0.541667,65,0.794293
Explotador 3,Explotador 3,,13,26,3,0.636364,0.72619,12.520015,0.168945,0.168944,1,0.041166,0,0.551282,43,0.567973
Raitero 4,Raitero 4,,10,20,3,0.56,0.654762,4.326454,0.113603,0.113603,1,0.033315,0,0.622222,28,0.38753
Raitero 5,Raitero 5,,10,20,3,0.56,0.654762,4.326454,0.113603,0.113603,1,0.033315,0,0.622222,28,0.38753
Reclutador 3,Reclutador 3,,15,30,2,0.682927,0.767857,29.986442,0.198361,0.198361,2,0.047528,0,0.457143,48,0.65721
Empresa 1,Empresa 1,,6,12,3,0.538462,0.595238,1.27055,0.066413,0.066413,1,0.022194,0,0.733333,11,0.230525
Guia 3,Guia 3,,7,14,2,0.571429,0.625,21.274932,0.071612,0.071612,2,0.028505,0,0.47619,10,0.244678
Escolta 1,Escolta 1,,4,8,3,0.5,0.547619,8.308328,0.034005,0.034005,2,0.020165,0,0.333333,2,0.11609
Escolta 2,Escolta 2,,2,4,3,0.378378,0.416667,0.340909,0.008157,0.008157,2,0.012933,0,0,0,0.030669
Guia 1,Guia 1,,6,12,3,0.466667,0.547619,2.574675,0.055941,0.055941,2,0.024518,0,0.6,9,0.190999
Guia 2,Guia 2,,6,12,3,0.538462,0.595238,1.89967,0.067111,0.067111,2,0.024352,0,0.733333,11,0.227123
Reclutador 1,Reclutador 1,,13,26,2,0.651163,0.732143,14.699333,0.199941,0.199941,2,0.041079,0,0.589744,46,0.652902
Reclutador 2,Reclutador 2,,9,18,3,0.583333,0.654762,4.790095,0.153276,0.153276,2,0.029109,0,0.722222,26,0.497525
