Id,Label,timeset,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Escolta 1,Escolta 1,,4,8,2,0.625,0.7,2.128571,0.150425,0.150425,0,0.066438,0,0.333333,2,0.410861
Escolta 2,Escolta 2,,2,4,3,0.5,0.566667,0.25,0.066044,0.066044,0,0.040027,0,0,0,0.181609
Explotador 1,Explotador 1,,8,16,2,0.833333,0.9,4.335714,0.348666,0.348665,1,0.111011,0,0.642857,18,0.945787
Guia 1,Guia 1,,7,14,2,0.769231,0.85,2.435714,0.312657,0.312656,0,0.098742,0,0.666667,14,0.848649
Guia 2,Guia 2,,7,14,2,0.769231,0.85,1.392857,0.320025,0.320025,0,0.098597,0,0.761905,16,0.869209
Guia 3,Guia 3,,7,14,2,0.769231,0.85,6.157143,0.309428,0.309428,0,0.101213,0,0.666667,14,0.840482
Funcionario 1,Funcionario 1,,5,10,3,0.625,0.733333,0,0.250726,0.250726,1,0.072175,0,1,10,0.677948
Partícipe 1,Partícipe 1,,8,16,2,0.833333,0.9,1.635714,0.369039,0.369039,1,0.109107,0,0.785714,22,1
Reclutador 1,Reclutador 1,,8,16,2,0.833333,0.9,1.635714,0.369039,0.369039,1,0.109107,0,0.785714,22,1
Reclutador 2,Reclutador 2,,6,12,3,0.666667,0.783333,0.392857,0.28999,0.28999,1,0.084475,0,0.866667,13,0.784738
Reclutador 3,Reclutador 3,,8,16,2,0.833333,0.9,1.635714,0.369039,0.369039,1,0.109107,0,0.785714,22,1
