Id,Label,timeset,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Cuidador 1,Cuidador 1,,11,22,4,0.492063,0.61828,0.56978,0.204705,0.204706,0,0.029341,0,0.909091,50,0.679395
Cuidador 2,Cuidador 2,,11,22,4,0.492063,0.61828,0.56978,0.204705,0.204706,0,0.029341,0,0.909091,50,0.679395
Cuidador 3,Cuidador 3,,11,22,4,0.492063,0.61828,0.56978,0.204705,0.204706,0,0.029341,0,0.909091,50,0.679395
Estafeta1,Estafeta1,,17,34,3,0.659574,0.763441,28.948347,0.273022,0.273022,0,0.044258,0,0.544118,74,0.92848
Estafeta 2,Estafeta 2,,17,34,3,0.659574,0.763441,29.950086,0.27383,0.27383,0,0.044327,0,0.529412,72,0.933245
Explotador 2,Explotador 2,,15,30,3,0.607843,0.72043,11.637209,0.264312,0.264313,0,0.039073,0,0.704762,74,0.889018
Partícipe 3,Partícipe 3,,13,26,3,0.607843,0.698925,11.899352,0.21311,0.213111,0,0.035041,0,0.602564,47,0.721905
Raitero 1,Raitero 1,,11,22,4,0.516667,0.634409,1.094263,0.206044,0.206044,0,0.029345,0,0.909091,50,0.686345
Raitero 2,Raitero 2,,12,24,4,0.525424,0.650538,2.677596,0.215497,0.215497,0,0.03182,0,0.80303,53,0.718614
Raitero 3,Raitero 3,,12,24,4,0.525424,0.650538,2.677596,0.215497,0.215497,0,0.03182,0,0.80303,53,0.718614
Victima reclutador 1,Victima reclutador 1,,18,36,3,0.673913,0.77957,21.578899,0.295977,0.295977,0,0.046416,0,0.594771,91,1
Victima reclutador 2,Victima reclutador 2,,15,30,3,0.62,0.725806,15.295485,0.248738,0.248738,0,0.039422,0,0.619048,65,0.835605
Cuidador 4,Cuidador 4,,8,16,3,0.525424,0.602151,3.028721,0.084085,0.084084,1,0.025045,0,0.75,21,0.313336
Cuidador 5,Cuidador 5,,8,16,3,0.525424,0.602151,3.743785,0.089262,0.089261,1,0.02478,0,0.571429,16,0.327593
Cuidador 6,Cuidador 6,,9,18,3,0.54386,0.623656,15.793262,0.086661,0.08666,1,0.028664,0,0.611111,22,0.324476
Empresa 2,Empresa 2,,7,14,4,0.449275,0.543011,2.492857,0.065644,0.065643,1,0.022561,0,0.571429,12,0.245244
Estafeta 3,Estafeta 3,,16,32,3,0.645833,0.747312,32.926728,0.231555,0.231554,1,0.043192,0,0.483333,58,0.806823
Explotador 3,Explotador 3,,14,28,3,0.62,0.715054,27.031816,0.169031,0.169031,1,0.039747,0,0.450549,41,0.605929
Raitero 4,Raitero 4,,10,20,4,0.54386,0.637097,7.555937,0.112704,0.112704,1,0.029959,0,0.622222,28,0.410331
Raitero 5,Raitero 5,,10,20,4,0.54386,0.637097,7.555937,0.112704,0.112704,1,0.029959,0,0.622222,28,0.410331
Reclutador 3,Reclutador 3,,16,32,2,0.673913,0.758065,65.535298,0.206749,0.206748,2,0.046552,0,0.416667,50,0.726535
Funcionario 1,Funcionario 1,,11,22,3,0.584906,0.666667,13.251893,0.160592,0.160592,2,0.031279,0,0.527273,29,0.55676
Funcionario 2,Funcionario 2,,11,22,4,0.553571,0.653226,14.909098,0.145405,0.145405,1,0.031619,0,0.418182,23,0.510544
Empresa 1,Empresa 1,,6,12,4,0.449275,0.52957,1.085965,0.054174,0.054173,1,0.020086,0,0.733333,11,0.205375
Guia 3,Guia 3,,6,12,3,0.476923,0.548387,30.815058,0.046956,0.046956,2,0.025096,0,0.466667,7,0.174965
Escolta 1,Escolta 1,,3,6,4,0.329787,0.389785,1.3,0.007735,0.007735,2,0.017436,0,0.333333,1,0.032899
Escolta 2,Escolta 2,,2,4,4,0.333333,0.379032,0.704242,0.004281,0.004281,2,0.013196,0,0,0,0.019452
Guia 1,Guia 1,,6,12,3,0.462687,0.537634,17.710736,0.053632,0.053632,2,0.02426,0,0.6,9,0.195068
Guia 2,Guia 2,,5,10,3,0.449275,0.516129,10.970987,0.040916,0.040916,2,0.021592,0,0.7,7,0.15095
Reclutador 1,Reclutador 1,,14,28,2,0.645833,0.725806,46.970248,0.207693,0.207693,2,0.040758,0,0.516484,47,0.719259
Reclutador 2,Reclutador 2,,11,22,3,0.596154,0.672043,13.882281,0.175185,0.175185,2,0.031494,0,0.618182,34,0.604339
Partícipe 2,Partícipe 2,,8,16,4,0.508197,0.596774,3.26698,0.130226,0.130226,0,0.023178,0,0.535714,15,0.442798
